ping_values
51
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
47
48
47
47
47
47
47
47
47
47
48
47
47
47
47
47
47
47
47
47
47
47
47
47
48
47
48
47
47
48
48
48
48
48
48
47
48
48
58
48
48
47
47
47
47
48
48
48
47
47
48
47
47
48
47
47
47
47
47
47
47
48
47
47
48
47
47
47
48
47
47
47
48
47
47
47
