RSSI,Ping,send_time_echoer,recv_time_echoer
-94,NA,792603304579596000,792603304578234000
-95,NA,792603304689474000,792603304688179000
-94,NA,792603304799464000,792603304798162000
-97,NA,792603304909472000,792603304908176000
-95,NA,792603305019472000,792603305018168000
-95,NA,792603305129532000,792603305128208000
-94,NA,792603305239532000,792603305238185000
-95,NA,792603305349477000,792603305348181000
-91,NA,792603253739441000,792603253738151000
-93,NA,792603305569474000,792603305568161000
-94,NA,792603305679479000,792603305678178000
-92,NA,792603305789480000,792603305788168000
-96,NA,792603305899492000,792603305898175000
-93,NA,792603306009491000,792603306008167000
-96,NA,792603306119544000,792603306118201000
-94,NA,792603306229537000,792603306228177000
-94,NA,792603306339506000,792603306338181000
-92,NA,792603306449513000,792603306448170000
-97,NA,792603306559534000,792603306558173000
-97,NA,792603306669537000,792603306668168000
-94,NA,792603306779537000,792603306778177000
-93,NA,792603306889537000,792603306888162000
-93,NA,792603306999980000,792603306998178000
-95,NA,792603307109632000,792603307108191000
-95,NA,792603307219550000,792603307218181000
-94,NA,792603307329557000,792603307328171000
-92,NA,792603307439502000,792603307438177000
-95,NA,792603307549498000,792603307548160000
-96,NA,792603307659822000,792603307658481000
-96,NA,792603307769531000,792603307768172000
-95,NA,792603307879502000,792603307878170000
-94,NA,792603307989539000,792603307988166000
-96,NA,792603308099590000,792603308098209000
-96,NA,792603308209556000,792603308208170000
-95,NA,792603308319526000,792603308318175000
-93,NA,792603308429537000,792603308428171000
-95,NA,792603308539572000,792603308538185000
-94,NA,792603308649536000,792603308648164000
-92,NA,792603308759535000,792603308758174000
-94,NA,792603308869542000,792603308868163000
-96,NA,792603308979534000,792603308978171000
-94,NA,792603309089603000,792603309088192000
-95,NA,792603309199599000,792603309198184000
-94,NA,792603309309683000,792603309308168000
-95,NA,792603309419595000,792603309418183000
-94,NA,792603309529530000,792603309528166000
-94,NA,792603309639519000,792603309638172000
-95,NA,792603309749560000,792603309748166000
-95,NA,792603309859525000,792603309858174000
-95,NA,792603309969539000,792603309968162000
-94,NA,792603310079592000,792603310078195000
-94,NA,792603310189685000,792603310188275000
-96,NA,792603310299529000,792603310298170000
-94,NA,792603310409540000,792603310408160000
-95,NA,792603310519525000,792603310518163000
-93,NA,792603310629543000,792603310628159000
-95,NA,792603310739529000,792603310738174000
-95,NA,792603310849536000,792603310848153000
-94,NA,792603310959541000,792603310958168000
-95,NA,792603311069600000,792603311068193000
-95,NA,792603311179565000,792603311178171000
-95,NA,792603311289605000,792603311288179000
-96,NA,792603311399544000,792603311398178000
-97,NA,792603311509595000,792603311508165000
-95,NA,792603311619546000,792603311618169000
-96,NA,792603311729559000,792603311728167000
-93,NA,792603311839574000,792603311838171000
-96,NA,792603311949566000,792603311948160000
-95,NA,792603312059755000,792603312058360000
-95,NA,792603312169587000,792603312168162000
-96,NA,792603312279613000,792603312278187000
-95,NA,792603312389552000,792603312388166000
-97,NA,792603312499559000,792603312498173000
-95,NA,792603312609560000,792603312608165000
-93,NA,792603312719561000,792603312718175000
-98,NA,792603312829557000,792603312828164000
-95,NA,792603312939560000,792603312938173000
-93,NA,792603261329432000,792603261328171000
-94,NA,792603313159618000,792603313158195000
-96,NA,792603313269614000,792603313268189000
-93,NA,792603313379579000,792603313378170000
-97,NA,792603313489550000,792603313488173000
-94,NA,792603313599554000,792603313598157000
-95,NA,792603313709563000,792603313708173000
-95,NA,792603313819566000,792603313818163000
-95,NA,792603313929563000,792603313928171000
-94,NA,792603314039565000,792603314038162000
-94,NA,792603314149628000,792603314148197000
-98,NA,792603314259677000,792603314258213000
-96,NA,792603314369555000,792603314368178000
-96,NA,792603314479605000,792603314478168000
-94,NA,792603314589557000,792603314588175000
-94,NA,792603262979478000,792603262978178000
-95,NA,792603314809569000,792603314808170000
-95,NA,792603314919568000,792603314918176000
-96,NA,792603315029567000,792603315028171000
-95,NA,792603315139923000,792603315138204000
-95,NA,792603315249617000,792603315248178000
-95,NA,792603315359551000,792603315358179000
-95,NA,792603315469581000,792603315468174000
