RSSI,Ping,send_time_sender,recv_time_sender
-78,17,792603882961774000,792603882977808000
-75,21,792603883067774000,792603883087813000
-77,21,792603883177782000,792603883197814000
-78,21,792603883287787000,792603883307815000
-77,21,792603883397785000,792603883417814000
-75,21,792603883507788000,792603883527819000
-76,21,792603883617825000,792603883637812000
-79,21,792603883727787000,792603883747814000
-80,21,792603883837783000,792603883857812000
-78,21,792603883947790000,792603883967839000
-79,21,792603884057787000,792603884077807000
-79,21,792603884167784000,792603884187818000
-78,21,792603884277789000,792603884297808000
-79,21,792603884387786000,792603884407815000
-78,21,792603884497787000,792603884517814000
-79,21,792603884607817000,792603884627819000
-78,21,792603884717778000,792603884737812000
-79,21,792603884827788000,792603884847822000
-81,21,792603884937793000,792603884957815000
-78,21,792603885047790000,792603885067817000
-78,21,792603885157788000,792603885177818000
-79,21,792603885267796000,792603885287817000
-78,21,792603885377782000,792603885397815000
-75,21,792603885487790000,792603885507823000
-80,21,792603885597826000,792603885617814000
-77,21,792603885707786000,792603885727814000
-77,21,792603885817793000,792603885837813000
-80,21,792603885927786000,792603885947818000
-80,21,792603886037785000,792603886057808000
-77,21,792603886147790000,792603886167819000
-78,21,792603886257789000,792603886277812000
-80,21,792603886367780000,792603886387819000
-76,21,792603886477783000,792603886497813000
-78,21,792603886587807000,792603886607818000
-79,21,792603886697784000,792603886717813000
-79,21,792603886807793000,792603886827817000
-77,21,792603886917780000,792603886937813000
-77,21,792603887027790000,792603887047815000
-79,21,792603887137782000,792603887157818000
-80,21,792603887247793000,792603887267818000
-79,21,792603887357782000,792603887377815000
-79,21,792603887467791000,792603887487817000
-80,21,792603887577813000,792603887597810000
-79,21,792603887687782000,792603887707815000
-78,21,792603887797788000,792603887817814000
-78,21,792603887907789000,792603887927815000
-78,21,792603888017785000,792603888037809000
-78,21,792603888127789000,792603888147814000
-82,31,792603888237788000,792603888267815000
-80,21,792603888347785000,792603888367811000
-79,21,792603888457786000,792603888477809000
-79,21,792603888567817000,792603888587818000
-78,21,792603888677782000,792603888697812000
-81,21,792603888787793000,792603888807822000
-78,21,792603888897784000,792603888917815000
-80,21,792603889007785000,792603889027817000
-80,21,792603889117785000,792603889137814000
-78,21,792603889227789000,792603889247814000
-80,21,792603889337780000,792603889357809000
-80,31,792603889447788000,792603889477820000
-79,21,792603889557824000,792603889577814000
-79,21,792603889667785000,792603889687815000
-80,21,792603889777790000,792603889797814000
-83,21,792603889887784000,792603889907817000
-81,31,792603889997784000,792603890027809000
-78,21,792603890107782000,792603890127814000
-78,21,792603890217790000,792603890237808000
-78,21,792603890327787000,792603890347817000
-79,21,792603890437795000,792603890457813000
-77,20,792603890547990000,792603890567820000
-79,21,792603890657782000,792603890677816000
-80,21,792603890767788000,792603890787821000
-80,21,792603890877822000,792603890897817000
-82,21,792603890987820000,792603891007817000
-78,21,792603891097790000,792603891117812000
-80,21,792603891207789000,792603891227815000
-83,21,792603891317781000,792603891337813000
-79,21,792603891427785000,792603891447817000
-79,21,792603891537785000,792603891557876000
-79,21,792603891647783000,792603891667815000
-83,21,792603891757793000,792603891777815000
-80,21,792603891867789000,792603891887817000
-79,21,792603891977782000,792603891997811000
-79,21,792603892087786000,792603892107856000
-80,21,792603892197785000,792603892217815000
-79,21,792603892307786000,792603892327818000
-78,21,792603892417783000,792603892437815000
-79,21,792603892527785000,792603892548059000
-78,21,792603892637782000,792603892657807000
-78,21,792603892747784000,792603892767818000
-78,21,792603892857783000,792603892877809000
-81,21,792603892967783000,792603892987818000
-79,21,792603893077782000,792603893097815000
-78,21,792603893187787000,792603893207818000
-80,21,792603893297783000,792603893317812000
-80,21,792603893407783000,792603893427819000
-81,21,792603893517785000,792603893537813000
-80,21,792603893627808000,792603893647815000
-83,21,792603893737780000,792603893757827000
-82,21,792603893847791000,792603893867818000
