RSSI,Ping,send_time_sender,recv_time_sender
-91,20,792603820368199000,792603820387816000
-87,21,792603820477776000,792603820497815000
-90,21,792603820587817000,792603820607817000
-89,21,792603820697782000,792603820717821000
-89,21,792603820807782000,792603820827813000
-90,21,792603820917789000,792603820937825000
-89,31,792603821027787000,792603821057816000
-90,21,792603821137787000,792603821157822000
-88,21,792603821247788000,792603821267821000
-91,21,792603821357791000,792603821377822000
-86,21,792603821467788000,792603821487815000
-88,21,792603821577819000,792603821597822000
-88,21,792603821687780000,792603821707812000
-87,21,792603821797791000,792603821817820000
-90,21,792603821907778000,792603821927822000
-89,21,792603822017790000,792603822037822000
-88,21,792603822127782000,792603822147817000
-88,21,792603822237788000,792603822257826000
-90,21,792603822347782000,792603822367817000
-88,21,792603822457785000,792603822477821000
-89,21,792603822567817000,792603822587819000
-87,21,792603822677785000,792603822697819000
-88,21,792603822787785000,792603822807817000
-90,21,792603822897780000,792603822917827000
-89,21,792603823007799000,792603823027817000
-89,21,792603823117780000,792603823137822000
-90,21,792603823227782000,792603823247819000
-88,21,792603823337780000,792603823357823000
-90,21,792603823447784000,792603823467816000
-89,21,792603823557814000,792603823577825000
-86,21,792603823667784000,792603823687816000
-87,21,792603823777786000,792603823797823000
-90,21,792603823887780000,792603823907818000
-88,21,792603823997786000,792603824017817000
-92,31,792603824107780000,792603824137815000
-91,31,792603824217784000,792603824247821000
-92,21,792603824327782000,792603824347816000
-91,21,792603824437786000,792603824457824000
-89,20,792603824547992000,792603824567820000
-90,31,792603824657780000,792603824687822000
-90,21,792603824767785000,792603824787917000
-90,31,792603824877780000,792603824907825000
-92,31,792603824987787000,792603825017816000
-92,31,792603825097780000,792603825127824000
-90,21,792603825207787000,792603825227819000
-90,21,792603825317791000,792603825337822000
-90,21,792603825427791000,792603825447815000
-89,31,792603825537778000,792603825567881000
-89,31,792603825647782000,792603825677818000
-91,31,792603825757783000,792603825787813000
-90,31,792603825867787000,792603825897809000
-95,31,792603825977789000,792603826007813000
-93,31,792603826087786000,792603826117811000
NA,NA,792603826197788000,NA
NA,NA,792603826307582000,NA
-90,21,792603826417585000,792603826437815000
-94,21,792603826527778000,792603826548042000
-90,21,792603826637790000,792603826657811000
-88,21,792603826747788000,792603826767811000
-90,21,792603826857783000,792603826877811000
-89,21,792603826967780000,792603826987814000
-91,41,792603827077793000,792603827117814000
-90,31,792603827187785000,792603827217812000
-90,21,792603827297780000,792603827317818000
-92,31,792603827407787000,792603827437810000
-92,21,792603827517782000,792603827537812000
-90,21,792603827627820000,792603827647821000
-91,21,792603827737786000,792603827757815000
-90,21,792603827847785000,792603827867816000
-92,31,792603827957783000,792603827987822000
-88,21,792603828067786000,792603828087819000
-90,21,792603828177784000,792603828197819000
-87,21,792603828287822000,792603828307824000
-90,21,792603828397823000,792603828417818000
NA,NA,792603828507784000,NA
-91,31,792603828617629000,792603828647808000
-88,31,792603828727779000,792603828757820000
-91,31,792603828837785000,792603828867821000
-92,21,792603828947782000,792603828967820000
-91,31,792603829057785000,792603829087817000
-90,21,792603829167784000,792603829187822000
-91,21,792603829277782000,792603829297815000
-88,21,792603829387785000,792603829407819000
NA,NA,792603829497782000,NA
NA,NA,792603829607629000,NA
-89,31,792603829717579000,792603829747825000
NA,NA,792603829827777000,NA
-90,21,792603829937592000,792603829957815000
-92,31,792603830047789000,792603830077811000
-89,21,792603830157782000,792603830177825000
-90,21,792603830267786000,792603830287813000
-89,21,792603830377788000,792603830397823000
-91,21,792603830487787000,792603830507819000
-90,41,792603830597813000,792603830637824000
-92,21,792603830707782000,792603830727819000
-88,21,792603830817788000,792603830837825000
-84,21,792603830927786000,792603830947819000
-89,21,792603831037788000,792603831057818000
-88,21,792603831147784000,792603831167849000
-90,21,792603831257797000,792603831277910000
