RSSI,Ping,send_time_sender,recv_time_sender
-63,15,792088770360552000,792088770375737000
NA,NA,792088770465421000,NA
NA,NA,792088770575367000,NA
-65,19,792088770685557000,792088770705353000
-66,21,792088770795402000,792088770815467000
-65,11,792088770905413000,792088770915421000
-65,10,792088771015404000,792088771025346000
-65,11,792088771125404000,792088771135595000
-66,20,792088771235405000,792088771255344000
-65,10,792088771345409000,792088771355346000
-65,21,792088771455407000,792088771475552000
-65,21,792088771565290000,792088771585735000
-64,19,792088771685616000,792088771705344000
-63,20,792088771795428000,792088771815350000
-63,20,792088771905403000,792088771925340000
-63,10,792088772015426000,792088772025345000
-64,11,792088772125404000,792088772135457000
-64,10,792088772235405000,792088772245356000
-61,21,792088772345424000,792088772365446000
-61,20,792088772455399000,792088772475347000
-60,20,792088772565403000,792088772585344000
-60,10,792088772675560000,792088772685600000
-60,21,792088772785428000,792088772805429000
-60,21,792088772895368000,792088772915442000
-60,20,792088773005743000,792088773025684000
-61,30,792088773115411000,792088773145346000
-60,30,792088773225406000,792088773255350000
-63,19,792088773335589000,792088773355341000
-63,10,792088773445405000,792088773455345000
NA,NA,792088773555413000,NA
-62,31,792088773665361000,792088773695390000
-61,21,792088773775402000,792088773795391000
-61,9,792088773885618000,792088773895353000
-61,10,792088773995424000,792088774005355000
-62,10,792088774105404000,792088774115344000
-65,10,792088774215421000,792088774225373000
-65,31,792088774325403000,792088774355454000
-65,31,792088774435369000,792088774465427000
-67,40,792088774545594000,792088774585459000
-65,21,792088774675424000,792088774695646000
-64,10,792088774785400000,792088774795349000
-65,20,792088774895406000,792088774915349000
-64,20,792088775005494000,792088775025350000
-64,20,792088775115402000,792088775135341000
-65,10,792088775225423000,792088775235350000
-65,9,792088775335593000,792088775345346000
-66,31,792088775445419000,792088775475442000
-65,31,792088775555283000,792088775585439000
-65,31,792088775665420000,792088775695471000
-67,20,792088775795419000,792088775815351000
-66,20,792088775905403000,792088775925348000
-66,20,792088776015405000,792088776035361000
-67,20,792088776125401000,792088776145349000
-66,20,792088776235434000,792088776255336000
-66,10,792088776345408000,792088776355343000
-66,10,792088776455405000,792088776465342000
-65,31,792088776565403000,792088776595402000
-65,21,792088776675408000,792088776695431000
-65,21,792088776785325000,792088776805439000
-65,31,792088776895366000,792088776925412000
-66,21,792088777005405000,792088777025401000
-64,20,792088777115439000,792088777135342000
-66,10,792088777225405000,792088777235348000
-66,9,792088777335600000,792088777345344000
-65,20,792088777445404000,792088777465341000
-64,11,792088777555402000,792088777565409000
-64,21,792088777665405000,792088777685583000
-71,20,792088777775401000,792088777795342000
-64,20,792088777885404000,792088777905347000
-65,20,792088777995408000,792088778015342000
-65,21,792088778105421000,792088778125822000
-65,10,792088778215320000,792088778225346000
-65,21,792088778325415000,792088778346196000
-65,30,792088778455386000,792088778485359000
-66,20,792088778565428000,792088778585343000
-66,21,792088778675422000,792088778695409000
-66,20,792088778785395000,792088778805348000
-66,30,792088778895409000,792088778925347000
-66,10,792088779005404000,792088779015347000
-65,10,792088779115421000,792088779125348000
-66,10,792088779225758000,792088779235694000
-66,10,792088779335598000,792088779345460000
-66,21,792088779445396000,792088779465449000
-65,21,792088779555285000,792088779575435000
-65,21,792088779665401000,792088779685587000
-66,41,792088779775408000,792088779815507000
-66,10,792088779915423000,792088779925355000
-66,30,792088780025406000,792088780055340000
-65,20,792088780135407000,792088780155339000
-66,19,792088780245592000,792088780265342000
-66,20,792088780355411000,792088780375345000
-67,21,792088780465413000,792088780485406000
-68,20,792088780575557000,792088780595422000
-67,30,792088780685773000,792088780715401000
-66,20,792088780815397000,792088780835350000
-68,20,792088780925402000,792088780945350000
-67,10,792088781035403000,792088781045352000
-67,10,792088781145402000,792088781155343000
-67,10,792088781255403000,792088781265372000
-67,11,792088781365413000,792088781375702000
