RSSI,Ping,send_time_sender,recv_time_sender
-93,14,792602951158691000,792602951173308000
-96,10,792602951263237000,792602951273259000
-95,10,792602951373246000,792602951383237000
-95,10,792602951483224000,792602951493234000
-92,20,792602951593216000,792602951613298000
NA,NA,792602951703227000,NA
NA,NA,792602951813064000,NA
NA,NA,792602951923062000,NA
-89,10,792602952033058000,792602952043217000
-92,10,792602952143215000,792602952153241000
NA,NA,792602952253231000,NA
-90,10,792602952363105000,792602952373278000
-93,10,792602952473235000,792602952483241000
NA,NA,792602952583216000,NA
-88,10,792602952693061000,792602952703223000
NA,NA,792602952803228000,NA
-92,10,792602952913068000,792602952923227000
NA,NA,792602953023230000,NA
-95,10,792602953133081000,792602953143217000
NA,NA,792602953243239000,NA
NA,NA,792602953353104000,NA
-89,10,792602953463068000,792602953473224000
-85,10,792602953573230000,792602953583296000
-87,10,792602953683228000,792602953693231000
-89,10,792602953793230000,792602953803234000
-91,10,792602953903211000,792602953913232000
-94,10,792602954013238000,792602954023235000
-95,10,792602954123217000,792602954133230000
-91,10,792602954233325000,792602954243262000
-90,10,792602954343245000,792602954353279000
-92,10,792602954453230000,792602954463242000
-91,10,792602954563234000,792602954573245000
-92,10,792602954673237000,792602954683239000
-92,10,792602954783235000,792602954793240000
-90,10,792602954893229000,792602954903243000
-93,10,792602955003232000,792602955013304000
-90,10,792602955113238000,792602955123238000
-91,10,792602955223252000,792602955233261000
-93,10,792602955333235000,792602955343253000
-94,10,792602955443261000,792602955453223000
-95,10,792602955553241000,792602955563241000
-93,10,792602955663236000,792602955673228000
-91,10,792602955773242000,792602955783249000
-92,10,792602955883228000,792602955893228000
-93,10,792602955993243000,792602956003245000
-89,10,792602956103239000,792602956113222000
-89,10,792602956213255000,792602956223255000
-91,10,792602956323239000,792602956333232000
NA,NA,792602956433265000,NA
-90,10,792602956543093000,792602956553232000
-89,10,792602956653236000,792602956663245000
-88,10,792602956763235000,792602956773239000
-86,10,792602956873239000,792602956883246000
-84,10,792602956983231000,792602956993238000
-84,10,792602957093237000,792602957103249000
-83,10,792602957203248000,792602957213243000
-83,10,792602957313274000,792602957323249000
-84,10,792602957423258000,792602957433233000
-85,10,792602957533244000,792602957543245000
-85,10,792602957643237000,792602957653230000
-85,10,792602957753239000,792602957763258000
-86,10,792602957863230000,792602957873229000
-85,10,792602957973233000,792602957983248000
-86,10,792602958083238000,792602958093235000
-86,9,792602958193777000,792602958203315000
-86,10,792602958303250000,792602958313250000
-86,10,792602958413282000,792602958423243000
-85,10,792602958523240000,792602958533243000
-85,10,792602958633246000,792602958643236000
-86,10,792602958743246000,792602958753305000
-86,10,792602958853247000,792602958863255000
-86,10,792602958963233000,792602958973238000
-85,10,792602959073249000,792602959083241000
-86,11,792602959183231000,792602959193437000
-84,10,792602959293247000,792602959303270000
-86,10,792602959403261000,792602959413231000
-87,10,792602959513246000,792602959523247000
-86,10,792602959623242000,792602959633237000
-87,10,792602959733243000,792602959743245000
-88,10,792602959843232000,792602959853244000
-88,10,792602959953244000,792602959963248000
-89,10,792602960063238000,792602960073236000
-87,10,792602960173238000,792602960183254000
-87,10,792602960283249000,792602960293244000
-86,10,792602960393282000,792602960403236000
-89,10,792602960503243000,792602960513231000
-87,10,792602960613244000,792602960623250000
-86,10,792602960723236000,792602960733283000
-87,10,792602960833244000,792602960843255000
-85,10,792602960943234000,792602960953232000
-87,10,792602961053245000,792602961063250000
-84,20,792602961163231000,792602961183236000
-87,10,792602961273256000,792602961283252000
-85,10,792602961383300000,792602961393238000
-86,10,792602961493243000,792602961503258000
-86,10,792602961603238000,792602961613229000
-85,13,792602961713251000,792602961725998000
-84,10,792602961823251000,792602961833239000
-85,10,792602961933236000,792602961943254000
-85,10,792602962043243000,792602962053235000
