RSSI,Ping,send_time_sender,recv_time_sender
-34,230,792156663070065000,792156663299337000
-34,123,792156663179001000,792156663301336000
-34,30,792156663289062000,792156663319067000
-35,20,792156663399086000,792156663419060000
-34,20,792156663509125000,792156663529054000
-35,20,792156663619133000,792156663639059000
-35,20,792156663729124000,792156663749057000
-35,20,792156663839127000,792156663859058000
-35,20,792156663949137000,792156663969056000
-34,20,792156664059121000,792156664079061000
-34,20,792156664169126000,792156664189061000
-35,19,792156664279347000,792156664299060000
-35,21,792156664389072000,792156664409160000
-34,21,792156664499143000,792156664519152000
-34,20,792156664609136000,792156664629046000
-34,20,792156664719134000,792156664739056000
-35,20,792156664829124000,792156664849061000
-34,20,792156664939136000,792156664959063000
-34,20,792156665049123000,792156665069057000
-35,20,792156665159124000,792156665179060000
-34,21,792156665269124000,792156665289106000
-34,20,792156665379129000,792156665399061000
-34,20,792156665489122000,792156665509062000
-34,20,792156665599122000,792156665619060000
-34,20,792156665709124000,792156665729057000
-35,21,792156665819116000,792156665839263000
-34,21,792156665929039000,792156665949156000
-34,11,792156666039001000,792156666049113000
-34,20,792156666149122000,792156666169060000
-35,21,792156666259129000,792156666279318000
-35,20,792156666369120000,792156666389065000
-34,20,792156666479131000,792156666499060000
-34,20,792156666589123000,792156666609056000
-34,20,792156666699124000,792156666719055000
-34,20,792156666809124000,792156666829060000
-34,20,792156666919133000,792156666939053000
-34,20,792156667029125000,792156667049059000
-34,20,792156667139131000,792156667159062000
-34,21,792156667249118000,792156667269508000
-35,21,792156667359086000,792156667379162000
-35,11,792156667468999000,792156667479158000
-34,20,792156667579101000,792156667599051000
-34,20,792156667689133000,792156667709059000
-34,20,792156667799123000,792156667819077000
-34,20,792156667909138000,792156667929061000
-34,20,792156668019130000,792156668039058000
-34,20,792156668129124000,792156668149060000
-34,20,792156668239124000,792156668259055000
-35,20,792156668349139000,792156668369073000
-35,20,792156668459123000,792156668479056000
-34,20,792156668569121000,792156668589056000
-34,20,792156668679123000,792156668699058000
-34,21,792156668789118000,792156668809240000
-35,21,792156668899053000,792156668919152000
-34,11,792156669008999000,792156669019117000
-34,20,792156669119120000,792156669139059000
-34,20,792156669229119000,792156669249061000
-34,20,792156669339139000,792156669359058000
-34,20,792156669449119000,792156669469059000
-33,20,792156669559125000,792156669579058000
-34,20,792156669669126000,792156669689071000
-34,20,792156669779131000,792156669799061000
-34,20,792156669889133000,792156669909052000
-34,20,792156669999122000,792156670019059000
-35,20,792156670109121000,792156670129055000
-34,21,792156670219118000,792156670239481000
-34,21,792156670329091000,792156670349158000
-34,11,792156670438996000,792156670449161000
-34,20,792156670549183000,792156670569055000
-34,20,792156670659136000,792156670679059000
-34,20,792156670769120000,792156670789063000
-34,20,792156670879139000,792156670899063000
-34,20,792156670989139000,792156671009059000
-35,20,792156671099135000,792156671119064000
-35,20,792156671209123000,792156671229072000
-35,20,792156671319139000,792156671339057000
-34,20,792156671429124000,792156671449054000
-34,20,792156671539131000,792156671559057000
-34,20,792156671649122000,792156671669057000
-35,21,792156671759118000,792156671779160000
-34,21,792156671869213000,792156671889154000
-34,21,792156671978998000,792156671999136000
-33,20,792156672089116000,792156672109062000
-33,20,792156672199121000,792156672219060000
-34,20,792156672309138000,792156672329060000
-33,20,792156672419128000,792156672439058000
-32,20,792156672529122000,792156672549059000
-33,20,792156672639124000,792156672659063000
-34,20,792156672749121000,792156672769059000
-33,20,792156672859123000,792156672879094000
-33,20,792156672969118000,792156672989095000
-34,20,792156673079125000,792156673099059000
-34,21,792156673189118000,792156673209123000
-34,21,792156673299143000,792156673319163000
-34,11,792156673408996000,792156673419163000
-34,20,792156673519119000,792156673539059000
-34,20,792156673629121000,792156673649062000
-34,20,792156673739121000,792156673759059000
-34,21,792156673849123000,792156673869263000
-34,20,792156673959119000,792156673979061000
