RSSI,Ping,send_time_echoer,recv_time_echoer
-37,NA,792091339568201000,792091339566101000
-40,NA,792091339677706000,792091339675954000
-40,NA,792091339787710000,792091339785950000
-39,NA,792091339897687000,792091339895946000
-38,NA,792091340007708000,792091340005941000
-38,NA,792091340117691000,792091340115946000
-38,NA,792091340227709000,792091340225941000
-38,NA,792091340337693000,792091340335946000
-39,NA,792091340447767000,792091340445984000
-37,NA,792091340557730000,792091340555970000
-37,NA,792091340667748000,792091340665952000
-38,NA,792091340777709000,792091340775949000
-39,NA,792091340887734000,792091340885939000
-40,NA,792091340997711000,792091340995948000
-39,NA,792091341107704000,792091341105939000
-40,NA,792091341217716000,792091341215949000
-39,NA,792091341327719000,792091341325948000
-39,NA,792091341437846000,792091341435982000
-36,NA,792091341547747000,792091341545972000
-38,NA,792091341657716000,792091341655944000
-41,NA,792091341767718000,792091341765942000
-45,NA,792091341877721000,792091341875946000
-46,NA,792091341987720000,792091341985942000
-47,NA,792091342097817000,792091342095946000
-47,NA,792091342207732000,792091342205951000
-48,NA,792091342317731000,792091342315946000
-48,NA,792091342427774000,792091342425984000
-49,NA,792091342537760000,792091342535970000
-49,NA,792091342647729000,792091342645939000
-49,NA,792091342757838000,792091342755949000
-47,NA,792091342867732000,792091342865939000
-47,NA,792091342977737000,792091342975948000
-47,NA,792091343087742000,792091343085948000
-46,NA,792091343197742000,792091343195949000
-46,NA,792091343307742000,792091343305948000
-47,NA,792091343417779000,792091343415978000
-48,NA,792091343527773000,792091343525972000
-46,NA,792091343637886000,792091343635974000
-45,NA,792091343747751000,792091343745951000
-45,NA,792091343857742000,792091343855937000
-45,NA,792091343967754000,792091343965951000
-45,NA,792091344077751000,792091344075946000
-45,NA,792091344187760000,792091344185951000
-47,NA,792091344297755000,792091344295946000
-46,NA,792091344407793000,792091344405975000
-48,NA,792091344517786000,792091344515970000
-48,NA,792091344627755000,792091344625939000
-47,NA,792091344740241000,792091344735953000
-48,NA,792091344847742000,792091344845955000
-48,NA,792091344957700000,792091344955951000
-49,NA,792091345067699000,792091345065946000
-49,NA,792091345177708000,792091345175951000
-48,NA,792091345287711000,792091345285945000
-49,NA,792091345397748000,792091345395991000
-50,NA,792091345507746000,792091345505974000
-50,NA,792091345617701000,792091345615939000
-51,NA,792091345727711000,792091345725949000
-48,NA,792091345837712000,792091345835948000
-47,NA,792091345947713000,792091345945949000
-45,NA,792091346057862000,792091346055948000
-45,NA,792091346167767000,792091346165940000
-45,NA,792091346277719000,792091346275948000
-45,NA,792091346387750000,792091346385973000
-45,NA,792091346497746000,792091346495972000
-46,NA,792091346607731000,792091346605950000
-49,NA,792091346717729000,792091346715951000
-48,NA,792091346827725000,792091346825946000
-50,NA,792091346937732000,792091346935951000
-50,NA,792091347047720000,792091347045937000
-52,NA,792091347157739000,792091347155951000
-49,NA,792091347267725000,792091347265937000
-51,NA,792091347377946000,792091347376152000
-50,NA,792091347487762000,792091347485970000
-52,NA,792091347597917000,792091347595948000
-49,NA,792091347707763000,792091347705949000
-50,NA,792091347817742000,792091347815948000
-50,NA,792091347927739000,792091347925943000
-49,NA,792091348037749000,792091348035951000
-48,NA,792091348147738000,792091348145940000
-51,NA,792091348257756000,792091348255948000
-50,NA,792091348367764000,792091348365954000
-50,NA,792091348477806000,792091348476009000
-49,NA,792091348587756000,792091348585957000
-48,NA,792091348697750000,792091348695948000
-49,NA,792091348807742000,792091348805939000
-50,NA,792091348917759000,792091348915948000
-49,NA,792091349027744000,792091349025939000
-51,NA,792091349137758000,792091349135948000
-49,NA,792091349247755000,792091349245948000
-52,NA,792091349357759000,792091349355948000
-52,NA,792091349467801000,792091349465982000
-50,NA,792091349577802000,792091349575972000
-50,NA,792091349687764000,792091349685937000
-50,NA,792091349797767000,792091349795951000
-49,NA,792091349907759000,792091349905937000
-48,NA,792091350017769000,792091350015951000
-50,NA,792091350127772000,792091350125946000
-46,NA,792091350238002000,792091350235951000
-43,NA,792091350347775000,792091350345946000
-39,NA,792091350457814000,792091350455982000
