RSSI,Ping
-47,NA
-49,NA
-53,NA
-47,NA
-54,NA
-59,NA
-57,NA
-52,NA
-47,NA
-44,NA
-45,NA
-46,NA
-44,NA
-44,NA
-47,NA
-48,NA
-50,NA
-44,NA
-43,NA
-46,NA
-47,NA
-47,NA
-48,NA
-48,NA
-49,NA
-49,NA
-48,NA
-51,NA
-48,NA
-49,NA
-46,NA
-45,NA
-46,NA
-47,NA
-48,NA
-48,NA
-48,NA
-48,NA
-46,NA
-48,NA
-47,NA
-45,NA
-45,NA
-46,NA
-48,NA
-45,NA
-48,NA
-53,NA
-52,NA
-49,NA
-57,NA
-52,NA
-50,NA
-49,NA
-49,NA
-49,NA
-49,NA
-48,NA
-49,NA
-49,NA
-48,NA
-46,NA
-46,NA
-46,NA
-45,NA
-47,NA
-48,NA
-52,NA
-50,NA
-52,NA
-51,NA
-47,NA
-52,NA
-49,NA
-50,NA
-50,NA
-49,NA
-47,NA
-46,NA
-46,NA
-49,NA
-49,NA
-48,NA
-48,NA
-47,NA
-46,NA
-52,NA
-49,NA
-44,NA
-47,NA
-45,NA
-47,NA
-49,NA
-48,NA
-45,NA
-46,NA
-45,NA
-45,NA
-45,NA
-46,NA
