RSSI,Ping
-32,15
-33,10
-33,10
-33,10
-34,10
-34,10
-34,10
-33,20
-33,10
-33,20
-33,10
-33,10
-33,10
-33,10
-33,10
-33,10
-34,10
-34,10
-34,10
-34,10
-34,10
-35,20
-34,10
-35,10
-32,10
-33,10
-32,10
-32,10
-33,10
-32,10
-33,20
-33,10
-33,10
-33,10
-32,20
-33,20
-32,10
-33,20
-33,10
-33,10
-33,10
-33,10
-33,20
-32,10
-33,10
-33,10
-34,10
-32,10
-32,10
-33,10
-33,10
-34,10
-33,10
-34,20
-33,10
-34,10
-34,10
-35,10
-34,10
-34,11
-34,10
-33,10
-35,10
-35,20
-34,10
-35,10
-34,10
-34,10
-34,10
-34,10
-34,10
-34,10
-35,10
-34,10
-34,20
-34,10
-33,10
-33,10
-34,10
-34,10
-33,10
-33,10
-34,10
-34,20
-34,20
-34,10
-34,10
-34,10
-34,10
-33,10
-34,10
-34,10
-34,10
-34,10
-34,10
-34,10
-35,10
-34,10
-34,20
-34,10
