RSSI,Ping
-49,19
-53,20
-56,20
-51,10
-58,11
-63,10
-60,10
-55,10
-48,10
-47,20
-48,20
-48,30
-47,20
-46,20
-51,20
-50,20
-52,10
-47,10
-46,20
-52,10
-51,20
-50,20
-51,10
-52,20
-53,20
-52,20
-53,20
-52,20
-51,20
-51,20
-50,20
-49,20
-49,10
-50,10
-51,10
-52,10
-51,10
-51,20
-50,10
-51,10
-50,10
-49,20
-50,10
-50,31
-52,20
-49,11
-52,20
-58,20
-54,20
-53,10
-59,10
-54,20
-52,20
-52,10
-52,20
-52,20
-53,20
-50,10
-52,20
-54,30
-50,20
-50,20
-50,20
-50,10
-49,30
-52,20
-52,20
-54,20
-53,20
-55,20
-52,20
-52,10
-54,20
-53,10
-53,10
-52,10
-52,10
-51,20
-49,10
-50,19
-51,20
-52,10
-53,20
-50,20
-51,20
-49,10
-56,10
-51,20
-48,20
-50,30
-48,20
-51,10
-50,20
-51,30
-49,10
-51,21
-49,20
-49,10
-48,20
-50,10
