RSSI,Ping,send_time_echoer,recv_time_echoer
-94,NA,792603471479589000,792603471478235000
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-95,NA,792603537079698000,792603537078282000
-96,NA,792603537189732000,792603537188333000
-97,NA,792603537299625000,792603537298231000
-96,NA,792603537409610000,792603537408222000
-94,NA,792603472469527000,792603472468216000
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-95,NA,792603473459579000,792603473458244000
-95,NA,792603473569555000,792603473568227000
-94,NA,792603473679510000,792603473678221000
-93,NA,792603473789601000,792603473788228000
-96,NA,792603473899567000,792603473898225000
-94,NA,792603474009594000,792603474008227000
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
-97,NA,792603474449590000,792603474448237000
-94,NA,792603474559587000,792603474558240000
-96,NA,792603474669635000,792603474668229000
-97,NA,792603474779579000,792603474778239000
-95,NA,792603474889581000,792603474888232000
-95,NA,792603474999586000,792603474998234000
-96,NA,792603475109596000,792603475108246000
-94,NA,792603475219601000,792603475218246000
-98,NA,792603475329708000,792603475328233000
-94,NA,792603475439587000,792603475438241000
-95,NA,792603475549573000,792603475548236000
-96,NA,792603475659593000,792603475658240000
-94,NA,792603475769581000,792603475768240000
-92,NA,792603475879605000,792603475878242000
-95,NA,792603475989709000,792603475988237000
-95,NA,792603476099613000,792603476098258000
-93,NA,792603476209606000,792603476208246000
-92,NA,792603476319595000,792603476318246000
-94,NA,792603476429583000,792603476428250000
-93,NA,792603476539604000,792603476538247000
-94,NA,792603476649611000,792603476648241000
-94,NA,792603476759602000,792603476758249000
-94,NA,792603476869747000,792603476868245000
-95,NA,792603476979602000,792603476978248000
-94,NA,792603477089668000,792603477088259000
-95,NA,792603477199684000,792603477198258000
-94,NA,792603477309611000,792603477308243000
-96,NA,792603477419622000,792603477418253000
-94,NA,792603477529610000,792603477528247000
-96,NA,792603477639638000,792603477638249000
-96,NA,792603477749647000,792603477748250000
-95,NA,792603477859633000,792603477858254000
NA,NA,NA,NA
-97,NA,792603478079777000,792603478078254000
-97,NA,792603478189773000,792603478188370000
-94,NA,792603478299611000,792603478298252000
-95,NA,792603478409630000,792603478408253000
-94,NA,792603478519613000,792603478518253000
-96,NA,792603478629633000,792603478628255000
-94,NA,792603478739620000,792603478738250000
-93,NA,792603478849622000,792603478848260000
-92,NA,792603478959624000,792603478958254000
-92,NA,792603479069671000,792603479068266000
-92,NA,792603479179636000,792603479178257000
-91,NA,792603479289659000,792603479288268000
-92,NA,792603479399759000,792603479398256000
-92,NA,792603479509619000,792603479508264000
-91,NA,792603479619615000,792603479618260000
-90,NA,792603479729631000,792603479728263000
-91,NA,792603479839625000,792603479838265000
-90,NA,792603479949645000,792603479948266000
NA,NA,NA,NA
-90,NA,792603480169678000,792603480168272000
-89,NA,792603480279681000,792603480278276000
-90,NA,792603480389625000,792603480388265000
-89,NA,792603480499646000,792603480498266000
-88,NA,792603480609636000,792603480608268000
-90,NA,792603480719633000,792603480718272000
-89,NA,792603480829637000,792603480828265000
-89,NA,792603480939640000,792603480938273000
-89,NA,792603481049667000,792603481048269000
-90,NA,792603481159710000,792603481158283000
-89,NA,792603481269689000,792603481268279000
-89,NA,792603481379692000,792603481378274000
-89,NA,792603481489773000,792603481488269000
-89,NA,792603481599692000,792603481598279000
-91,NA,792603481709632000,792603481708273000
-91,NA,792603481819727000,792603481818275000
-92,NA,792603481929636000,792603481928276000
-96,NA,792603482039637000,792603482038280000
-93,NA,792603482149684000,792603482148280000
-92,NA,792603482259697000,792603482258287000
-91,NA,792603482369631000,792603482368277000
